DATE,B008RG3Q086SBEA
1947-01-01,19.317
1947-04-01,19.902
1947-07-01,20.428
1947-10-01,20.798
1948-01-01,20.909
1948-04-01,21.493
1948-07-01,22.23
1948-10-01,22.531
1949-01-01,22.377
1949-04-01,22.343
1949-07-01,22.257
1949-10-01,22.128
1950-01-01,22.153
1950-04-01,22.368
1950-07-01,22.841
1950-10-01,23.594
1951-01-01,24.374
1951-04-01,24.788
1951-07-01,25.012
1951-10-01,25.279
1952-01-01,25.389
1952-04-01,25.447
1952-07-01,25.388
1952-10-01,25.402
1953-01-01,25.44
1953-04-01,25.645
1953-07-01,25.838
1953-10-01,25.8
1954-01-01,25.903
1954-04-01,26.014
1954-07-01,25.844
1954-10-01,25.884
1955-01-01,25.839
1955-04-01,25.981
1955-07-01,26.376
1955-10-01,26.899
1956-01-01,27.626
1956-04-01,27.866
1956-07-01,28.534
1956-10-01,28.902
1957-01-01,29.338
1957-04-01,29.496
1957-07-01,29.694
1957-10-01,29.916
1958-01-01,29.637
1958-04-01,29.813
1958-07-01,29.881
1958-10-01,29.952
1959-01-01,29.991
1959-04-01,30.179
1959-07-01,30.327
1959-10-01,30.398
1960-01-01,30.415
1960-04-01,30.436
1960-07-01,30.423
1960-10-01,30.342
1961-01-01,30.301
1961-04-01,30.28
1961-07-01,30.261
1961-10-01,30.279
1962-01-01,30.286
1962-04-01,30.328
1962-07-01,30.321
1962-10-01,30.297
1963-01-01,30.299
1963-04-01,30.292
1963-07-01,30.326
1963-10-01,30.344
1964-01-01,30.356
1964-04-01,30.505
1964-07-01,30.523
1964-10-01,30.668
1965-01-01,30.711
1965-04-01,30.786
1965-07-01,30.883
1965-10-01,31.03
1966-01-01,31.01
1966-04-01,31.297
1966-07-01,31.367
1966-10-01,31.634
1967-01-01,31.778
1967-04-01,31.952
1967-07-01,32.166
1967-10-01,32.477
1968-01-01,32.739
1968-04-01,33.058
1968-07-01,33.327
1968-10-01,33.822
1969-01-01,34.099
1969-04-01,34.421
1969-07-01,34.802
1969-10-01,35.23
1970-01-01,35.621
1970-04-01,36.204
1970-07-01,36.438
1970-10-01,36.919
1971-01-01,37.441
1971-04-01,37.879
1971-07-01,38.214
1971-10-01,38.453
1972-01-01,38.889
1972-04-01,39.187
1972-07-01,39.437
1972-10-01,39.674
1973-01-01,40.019
1973-04-01,40.586
1973-07-01,41.216
1973-10-01,41.707
1974-01-01,42.487
1974-04-01,43.804
1974-07-01,45.58
1974-10-01,47.556
1975-01-01,49.318
1975-04-01,50.581
1975-07-01,51.232
1975-10-01,51.932
1976-01-01,52.505
1976-04-01,53.18
1976-07-01,53.888
1976-10-01,54.676
1977-01-01,55.741
1977-04-01,56.58
1977-07-01,57.561
1977-10-01,58.561
1978-01-01,59.428
1978-04-01,60.418
1978-07-01,61.407
1978-10-01,62.466
1979-01-01,63.78
1979-04-01,65.183
1979-07-01,66.555
1979-10-01,67.802
1980-01-01,69.312
1980-04-01,70.903
1980-07-01,72.417
1980-10-01,73.932
1981-01-01,75.965
1981-04-01,77.799
1981-07-01,79.196
1981-10-01,80.852
1982-01-01,81.938
1982-04-01,82.86
1982-07-01,83.329
1982-10-01,83.517
1983-01-01,83.102
1983-04-01,82.742
1983-07-01,82.626
1983-10-01,82.626
1984-01-01,82.692
1984-04-01,82.998
1984-07-01,83.178
1984-10-01,83.276
1985-01-01,83.536
1985-04-01,83.683
1985-07-01,83.995
1985-10-01,84.36
1986-01-01,84.575
1986-04-01,85.127
1986-07-01,85.683
1986-10-01,86.075
1987-01-01,86.141
1987-04-01,86.116
1987-07-01,86.146
1987-10-01,86.955
1988-01-01,87.765
1988-04-01,88.236
1988-07-01,88.614
1988-10-01,89.442
1989-01-01,89.909
1989-04-01,90.304
1989-07-01,90.812
1989-10-01,91.263
1990-01-01,91.777
1990-04-01,92.137
1990-07-01,92.77
1990-10-01,93.381
1991-01-01,94.296
1991-04-01,94.383
1991-07-01,94.335
1991-10-01,94.055
1992-01-01,93.978
1992-04-01,93.902
1992-07-01,93.971
1992-10-01,93.989
1993-01-01,94.059
1993-04-01,94.133
1993-07-01,94.082
1993-10-01,94.371
1994-01-01,94.629
1994-04-01,94.829
1994-07-01,95.033
1994-10-01,95.124
1995-01-01,95.539
1995-04-01,95.849
1995-07-01,96.112
1995-10-01,95.895
1996-01-01,95.588
1996-04-01,95.214
1996-07-01,95.231
1996-10-01,95.036
1997-01-01,94.912
1997-04-01,94.852
1997-07-01,94.779
1997-10-01,94.395
1998-01-01,93.845
1998-04-01,93.375
1998-07-01,92.993
1998-10-01,92.778
1999-01-01,92.651
1999-04-01,92.419
1999-07-01,92.015
1999-10-01,92.17
2000-01-01,92.432
2000-04-01,92.63
2000-07-01,92.914
2000-10-01,92.897
2001-01-01,92.518
2001-04-01,92.484
2001-07-01,92.256
2001-10-01,92.125
2002-01-01,92.056
2002-04-01,91.97
2002-07-01,91.699
2002-10-01,91.73
2003-01-01,91.375
2003-04-01,91.193
2003-07-01,90.954
2003-10-01,91.103
2004-01-01,91.367
2004-04-01,91.917
2004-07-01,92.149
2004-10-01,92.789
2005-01-01,93.644
2005-04-01,94.241
2005-07-01,94.577
2005-10-01,95.311
2006-01-01,95.901
2006-04-01,96.377
2006-07-01,96.972
2006-10-01,97.73
