DATE,Nondurable good,Fixed investment price,
1/1/1959,17.79133333,446.373,
4/1/1959,17.79666667,448.214,
7/1/1959,17.87333333,451.252,
10/1/1959,17.94,452.896,
1/1/1960,17.91466667,447.98,
4/1/1960,18.04333333,449.818,
7/1/1960,18.097,446.643,
10/1/1960,18.19833333,444.46,
1/1/1961,18.226,442.357,
4/1/1961,18.099,444.782,
7/1/1961,18.13266667,438.25,
10/1/1961,18.09833333,438.897,
1/1/1962,18.169,435.194,
4/1/1962,18.21666667,434.275,
7/1/1962,18.235,429.166,
10/1/1962,18.32933333,423.891,
1/1/1963,18.35633333,418.945,
4/1/1963,18.338,416.876,
7/1/1963,18.47266667,413.987,
10/1/1963,18.51033333,411.46,
1/1/1964,18.621,411.551,
4/1/1964,18.61733333,410.863,
7/1/1964,18.67333333,406.943,
10/1/1964,18.74933333,406.721,
1/1/1965,18.806,404.477,
4/1/1965,18.984,398.001,
7/1/1965,19.088,400.29,
10/1/1965,19.13133333,390.502,
1/1/1966,19.38766667,385.254,
4/1/1966,19.55166667,380.591,
7/1/1966,19.689,375.2,
10/1/1966,19.81233333,372.76,
1/1/1967,19.807,372.876,
4/1/1967,19.838,372.86,
7/1/1967,20.04666667,374.03,
10/1/1967,20.181,373.035,
1/1/1968,20.39,370.685,
4/1/1968,20.58333333,370.035,
7/1/1968,20.78066667,369.587,
10/1/1968,20.99733333,371.804,
1/1/1969,21.154,372.784,
4/1/1969,21.449,372.717,
7/1/1969,21.74866667,373.721,
10/1/1969,21.97933333,375.223,
1/1/1970,22.263,378.114,
4/1/1970,22.48166667,378.806,
7/1/1970,22.63366667,376.638,
10/1/1970,22.83466667,375.076,
1/1/1971,22.87233333,373.133,
4/1/1971,23.111,369.778,
7/1/1971,23.313,366.569,
10/1/1971,23.462,364.339,
1/1/1972,23.71766667,362.191,
4/1/1972,23.77333333,360.346,
7/1/1972,23.98333333,359.348,
10/1/1972,24.25933333,359.48,
1/1/1973,24.77733333,363.437,
4/1/1973,25.524,365.392,
7/1/1973,26.173,363.375,
10/1/1973,26.97733333,359.884,
1/1/1974,28.36866667,359.348,
4/1/1974,29.40533333,366.128,
7/1/1974,30.23366667,373.105,
10/1/1974,31.091,380.752,
1/1/1975,31.534,389.011,
4/1/1975,31.64733333,393.279,
7/1/1975,32.35266667,393.351,
10/1/1975,32.76833333,394.457,
1/1/1976,32.80966667,395.967,
4/1/1976,32.80766667,396.66,
7/1/1976,33.21566667,396.624,
10/1/1976,33.64666667,394.481,
1/1/1977,34.26233333,395.946,
4/1/1977,34.89033333,394.234,
7/1/1977,35.253,389.896,
10/1/1977,35.66533333,383.808,
1/1/1978,36.14033333,379.857,
4/1/1978,37.008,377.589,
7/1/1978,37.61666667,375.136,
10/1/1978,38.25966667,372.824,
1/1/1979,39.32766667,374.528,
4/1/1979,40.66166667,375.199,
7/1/1979,41.97933333,373.204,
10/1/1979,43.11666667,371.633,
1/1/1980,44.77566667,373.624,
4/1/1980,45.86933333,375.36,
7/1/1980,46.84133333,377.111,
10/1/1980,47.854,378.867,
1/1/1981,49.26833333,383.204,
4/1/1981,49.757,385.632,
7/1/1981,50.14866667,385.92,
10/1/1981,50.47933333,385.885,
1/1/1982,50.714,386.236,
4/1/1982,50.71066667,390.317,
7/1/1982,51.36533333,391.684,
10/1/1982,51.394,392.892,
1/1/1983,51.251,387.686,
4/1/1983,51.89266667,381.839,
7/1/1983,52.28433333,377.018,
10/1/1983,52.26,373.592,
1/1/1984,52.86866667,368.979,
4/1/1984,52.90166667,365.473,
7/1/1984,53.02133333,361.765,
10/1/1984,53.21366667,359.216,
1/1/1985,53.58533333,356.021,
4/1/1985,53.91466667,352.151,
7/1/1985,54.02333333,348.655,
10/1/1985,54.44966667,345.422,
1/1/1986,54.176,340.106,
4/1/1986,52.88366667,338.622,
7/1/1986,53.02033333,341.229,
10/1/1986,53.136,340.212,
1/1/1987,54.32066667,335.648,
4/1/1987,54.918,330.812,
7/1/1987,55.44066667,326.801,
10/1/1987,55.78733333,328.937,
1/1/1988,55.96833333,329.616,
4/1/1988,56.531,326.244,
7/1/1988,57.278,324.109,
10/1/1988,57.69866667,324.302,
1/1/1989,58.48866667,323.212,
4/1/1989,60.03166667,319.969,
7/1/1989,59.98033333,317.689,
10/1/1989,60.25933333,314.687,
1/1/1990,61.78266667,312.033,
4/1/1990,62.136,310.308,
7/1/1990,63.44166667,310.364,
10/1/1990,65.08566667,310.12,
1/1/1991,64.76266667,310.642,
4/1/1991,64.86966667,307.679,
7/1/1991,64.92866667,303.003,
10/1/1991,65.25633333,298.978,
1/1/1992,65.36966667,295.145,
4/1/1992,65.695,290.022,
7/1/1992,66.16833333,286.693,
10/1/1992,66.35966667,283.07,
1/1/1993,66.55766667,281.889,
4/1/1993,66.47233333,278.743,
7/1/1993,66.197,275.728,
10/1/1993,66.50766667,272.5,
1/1/1994,66.319,270.207,
4/1/1994,66.46266667,267.811,
7/1/1994,67.15033333,264.604,
10/1/1994,67.22,260.621,
1/1/1995,67.199,258.107,
4/1/1995,67.44933333,255.597,
7/1/1995,67.594,251.191,
10/1/1995,67.70033333,245.973,
1/1/1996,68.36866667,240.206,
4/1/1996,69.08366667,233.57,
7/1/1996,68.981,229.318,
10/1/1996,69.62166667,225.181,
1/1/1997,69.898,220.134,
4/1/1997,69.68566667,215.866,
7/1/1997,69.64133333,211.007,
10/1/1997,69.71533333,206.023,
1/1/1998,69.15866667,199.129,
4/1/1998,69.02166667,193.621,
7/1/1998,69.30033333,188.821,
10/1/1998,69.41,184.287,
1/1/1999,69.64633333,181.04,
4/1/1999,70.65466667,177.816,
7/1/1999,71.41333333,175.119,
10/1/1999,72.05833333,173.017,
1/1/2000,73.16066667,171.939,
4/1/2000,73.79866667,170.785,
7/1/2000,74.38,170.318,
10/1/2000,74.61933333,168.641,
1/1/2001,74.817,164.529,
4/1/2001,75.326,162.452,
7/1/2001,75.015,159.201,
10/1/2001,73.945,157.096,
1/1/2002,73.81266667,155.65,
4/1/2002,74.876,153.775,
7/1/2002,75.08533333,150.676,
10/1/2002,75.35033333,148.668,
1/1/2003,76.60966667,145.456,
4/1/2003,75.426,143.262,
7/1/2003,76.47066667,139.117,
10/1/2003,76.80066667,136.163,
1/1/2004,77.844,134.943,
4/1/2004,78.57966667,133.967,
7/1/2004,79.02966667,132.575,
10/1/2004,80.42766667,131.404,
1/1/2005,80.29533333,130.43,
4/1/2005,80.825,128.697,
7/1/2005,83.31466667,126.651,
10/1/2005,83.555,124.739,
1/1/2006,83.64266667,123.45,
4/1/2006,84.864,122.705,
7/1/2006,85.843,122.151,
10/1/2006,83.86133333,121.429,
1/1/2007,85.02766667,120.416,
4/1/2007,86.69066667,119.296,
7/1/2007,87.29933333,117.054,
10/1/2007,89.147,114.82,
1/1/2008,90.66133333,114.263,
4/1/2008,92.64933333,113.746,
7/1/2008,95.09266667,113.213,
10/1/2008,89.21466667,112.403,
1/1/2009,87.12266667,110.968,
4/1/2009,88.65066667,109.476,
7/1/2009,90.58266667,108.715,
10/1/2009,91.511,107.108,
1/1/2010,91.93666667,105.776,
4/1/2010,91.52833333,104.951,
7/1/2010,91.811,104.044,
10/1/2010,93.45233333,103.781,
1/1/2011,95.578,103.708,
4/1/2011,97.80766667,103.07,
7/1/2011,98.36233333,102.291,
10/1/2011,98.862,101.643,
1/1/2012,99.822,101.098,
4/1/2012,99.62433333,100.042,
7/1/2012,99.86933333,99.634,
10/1/2012,100.6843333,99.226,
1/1/2013,100.6426667,98.86,
4/1/2013,99.601,98.17,
7/1/2013,100.035,97.645,
10/1/2013,100.0486667,96.783,
1/1/2014,100.6253333,96.365,
4/1/2014,101.112,95.771,
7/1/2014,101.0416667,95.174,
10/1/2014,99.60266667,94.467,
1/1/2015,96.821,93.697,
4/1/2015,97.57266667,92.922,
7/1/2015,97.55966667,92.27,
10/1/2015,96.363,91.469,
1/1/2016,95.083,90.945,
4/1/2016,95.817,90.524,
7/1/2016,95.92266667,89.65,
10/1/2016,96.64566667,89.018,
1/1/2017,97.43766667,88.205,
4/1/2017,96.79633333,87.909,
7/1/2017,97.34766667,87.269,
10/1/2017,98.16433333,86.906,
1/1/2018,99.11533333,86.509,
4/1/2018,99.45333333,86.318,
7/1/2018,99.44066667,86.031,
10/1/2018,99.194,85.425,
1/1/2019,98.60333333,85.018,
